text_reference,X,Y,labels,value
hacking,10.582406,-3.8131905,-1,0.0010252469187373733
positive,10.4368105,-2.3720467,-1,0.001023363827478095
work,9.680456,-2.7711735,60,0.0010208107711749345
foreign power,8.602432,-1.4161156,-1,0.0010199893187493878
different man,11.654509,-1.6821798,-1,0.0010191298481882149
loss,8.038031,-1.6110282,59,0.0010169373396473943
martha,12.406297,-7.3783746,23,0.0010162317343884533
consent,10.103486,-1.4017748,-1,0.0010162283758562841
radical islamic terrorists,10.170488,0.90496796,22,0.0010158355394679144
years old,6.9304943,-4.3807206,4,0.0010100810706938196
divided nation,7.439215,-1.773072,11,0.0010100003390813817
old post office,9.26352,-1.1446296,-1,0.0010088802949965157
minute,6.7192,-4.9282055,1,0.0010086565939438426
little ones,12.530704,-2.4636583,28,0.0010074222871886717
white house,10.375917,-6.1495385,41,0.0009979761220271026
clear,12.397417,-2.095468,29,0.0009979559459014117
reason,11.462957,-2.813359,-1,0.000997728673682932
muslim ban,10.004823,1.0989708,22,0.0009929412195420352
classified information,10.278197,-3.3529553,54,0.0009894168937203125
justice,9.732888,-6.9134307,3,0.000981761571068287
bad judgment,12.589118,-2.382331,28,0.000978167242621177
generals,9.855595,1.2336951,22,0.0009768601806865451
communication,10.53098,-3.4731255,54,0.0009765335826731599
week,6.7825007,-4.7859592,1,0.0009752019371848342
spencer moss,12.38627,-7.403561,23,0.0009669040567114962
air strike,9.275218,0.76235396,21,0.0009618844862835555
disgrace,11.332313,-4.7030835,52,0.0009611687626807059
day,7.2335463,-4.55,-1,0.000960409712918506
small businesses,8.548908,-3.030149,34,0.0009573402437133778
top,9.204712,-4.858177,49,0.0009472294506892308
famous,12.553444,-5.6547723,-1,0.0009447016160729792
university,10.886991,-7.067558,15,0.0009423273425920119
syrian regime,9.80684,1.2209114,22,0.0009405299584356815
stake,11.300356,-5.6203737,27,0.0009369584866274694
families,10.480273,1.343706,19,0.0009359977083046248
correct,12.1437435,-2.0370414,29,0.0009355003286360647
depreciation,10.482204,-5.0436873,43,0.0009323465665872398
difference,7.658405,-2.7803879,12,0.0009298188678348759
word,13.184947,-1.7223574,-1,0.0009225097730128758
greatest provisions,9.172567,-2.3948138,-1,0.0009209446120422538
judge,9.758664,-6.892944,3,0.0009158215685708992
commercials,9.3960705,-5.2301583,49,0.0009153904090151465
attention,9.82068,-2.363348,-1,0.0009108456934334215
massive deduction,9.54366,-3.973056,50,0.0009100407921923409
old boy,12.901668,-5.349659,33,0.0009099589105351157
talk,12.405745,-5.236475,31,0.0009042561594724438
democrats,9.474897,-7.889027,7,0.0009023357150641237
tax,8.358682,-2.0807822,58,0.0009001900131661981
highest priority,8.767793,-2.6214368,34,0.0008954250575339202
second amendment,6.3120623,-4.334188,5,0.0008881333182527199
war crimes investigation,8.763081,-0.31388927,-1,0.0008754490705938426
social media,9.546897,-1.5758197,64,0.0008732432725476551
politician,12.202857,-7.582544,24,0.0008711398244432391
michelle obama,12.070119,-7.0252123,25,0.0008659731559064089
pows,10.101556,0.7906913,22,0.0008645849946116645
use,11.674368,-3.704474,47,0.0008594205986380786
dark things,12.780544,-1.5590999,30,0.0008592490133017135
beth miller,12.453569,-7.5089197,23,0.0008575186091678471
medicaid,10.328556,-4.927382,43,0.0008531853803178958
epa,10.354326,-4.8747983,43,0.0008499356243698543
libya,8.561041,1.051296,8,0.0008485280373519186
topic,10.6519375,-3.2420852,-1,0.0008479572579571664
defense,9.279146,0.05161824,-1,0.0008468029709023529
brutal kinds,11.010619,-2.2711015,57,0.0008424832057599127
someone,5.534614,-2.030409,2,0.0008397842360250821
results,10.011696,-2.4696856,61,0.0008383301341168747
ashamed,11.881656,-4.8573656,51,0.0008378540734177861
ohio,10.920498,-7.0747776,15,0.0008374277147439091
military force,9.245546,0.7697235,21,0.0008318156648619087
independents,10.432747,-6.2701273,41,0.0008289112781198149
soros,10.658096,-5.3618245,43,0.0008268133979828109
virginia,10.884782,-7.042745,15,0.000824879084879616
syrian air forces,9.260802,0.8381298,21,0.0008247740469413437
half,6.4238734,-4.5075393,5,0.0008227316695366084
teachers,10.841417,-2.0960517,57,0.0008223118790408429
rights,10.183412,-1.1873944,-1,0.000817908192335436
office,9.232566,-1.1743269,-1,0.0008153290751982444
affordable,9.772069,-3.683416,50,0.0008134672834336314
payer plan,8.888736,-1.0973958,-1,0.0008075224871911376
immigrants,10.46976,1.3877834,19,0.0008072165751293891
